,X,Y,SPECIES.NAME,training,sp1,sp2,sp3,sp4,sp5,prediction
98640,3186500,3543500,b'Betula pubescens',True,0.7123929858207703,-0.2913022041320801,-1.3913244009017944,-0.838638424873352,1.0069408416748047,b'Quercus robur'
129,4546500,5089500,b'Betula pubescens',True,-3.014364242553711,0.602578341960907,2.0021979808807373,0.9144246578216553,-2.650803327560425,b'Betula pubescens'
198268,4671500,5129500,b'Betula pubescens',True,-3.1233956813812256,0.5859755873680115,2.09623384475708,0.9798141717910767,-2.7435731887817383,b'Betula pubescens'
77588,4821500,5114500,b'Betula pubescens',True,-2.989861488342285,0.5711458325386047,1.9652881622314453,0.9269388914108276,-2.5869603157043457,b'Betula pubescens'
96908,5130500,4865500,b'Betula pubescens',True,-0.9147084355354309,0.02657127007842064,0.11446328461170197,0.575491726398468,-0.6164888143539429,b'Pinus sylvestris'
10862,4976500,4867500,b'Betula pubescens',True,-2.9805967807769775,0.5873969197273254,2.074455976486206,0.8704276084899902,-2.7145769596099854,b'Betula pubescens'
68631,4695500,4533500,b'Betula pubescens',True,-2.230921745300293,0.40241390466690063,1.5617616176605225,0.9280644655227661,-2.234917163848877,b'Betula pubescens'
52404,4981500,4483500,b'Betula pubescens',True,-9.15708065032959,1.437952995300293,8.88096809387207,4.897539138793945,-13.543380737304688,b'Betula pubescens'
17737,5232500,4517500,b'Betula pubescens',True,-5.909199237823486,-0.668587327003479,5.648865699768066,4.146109580993652,-7.399746417999268,b'Betula pubescens'
49294,5060500,4292500,b'Betula pubescens',True,-17.587570190429688,7.489980220794678,16.89423179626465,5.160284519195557,-29.575349807739258,b'Betula pubescens'
34832,4506500,4561500,b'Betula pubescens',False,-2.9805824756622314,0.5684213042259216,1.9581046104431152,0.9237380027770996,-2.5759642124176025,b'Betula pubescens'
154895,5360500,4440500,b'Betula pubescens',True,-2.5125670433044434,0.5215600728988647,1.5540474653244019,0.8135181665420532,-2.1122212409973145,b'Betula pubescens'
100760,3550500,2222500,b'Betula pubescens',True,0.38371655344963074,-0.028559353202581406,-1.7779203653335571,-0.10457910597324371,0.9222346544265747,b'Quercus robur'
25489,4093500,4011500,b'Betula pubescens',False,-0.6665769815444946,1.267706036567688,0.1162414699792862,0.47365742921829224,-1.9493895769119263,b'Picea abies'
2930,4792500,5174500,b'Betula pubescens',False,-3.0339150428771973,0.5885249376296997,2.0076825618743896,0.9303829669952393,-2.6519954204559326,b'Betula pubescens'
72820,4944500,4537500,b'Betula pubescens',True,-5.7411980628967285,1.1221600770950317,5.210166931152344,1.8941491842269897,-7.548338413238525,b'Betula pubescens'
82006,4811500,5018500,b'Betula pubescens',True,-2.7212836742401123,0.5661601424217224,1.797173261642456,0.8546453714370728,-2.4216678142547607,b'Betula pubescens'
89124,5132500,4211500,b'Betula pubescens',True,0.00028472812846302986,0.2792210280895233,-1.3580292463302612,0.47568029165267944,0.27518126368522644,b'Pinus sylvestris'
15087,5332500,4605500,b'Betula pubescens',True,-2.4553041458129883,0.49895691871643066,1.5766161680221558,0.7323563694953918,-2.126106023788452,b'Betula pubescens'
127677,4999500,5132500,b'Betula pubescens',True,-2.7767117023468018,0.5579873919487,1.8266465663909912,0.8285410404205322,-2.4215595722198486,b'Betula pubescens'
120119,4223500,4157500,b'Betula pubescens',True,-2.8172640800476074,0.5498992204666138,1.8609967231750488,0.8522021174430847,-2.454118490219116,b'Betula pubescens'
14723,4645500,4180500,b'Betula pubescens',True,-3.311739206314087,1.3926197290420532,3.6897377967834473,1.4899977445602417,-5.985718250274658,b'Betula pubescens'
